Pori Huhtala,61.53725,21.56780
Pori Kaarluoto,61.50779,21.63373
Pori Kahaluoto Krootila,61.55184,21.71028
Pori Leveäkari,61.53477,21.59867
Pori Levon lammet,61.58899,21.50534
Pori Ooviiki,61.49693,21.58727
Pori Teemuluoto,61.55705,21.65068
Pori Toukari,61.52720,21.75787
Pori Yyteri,61.53157,21.55675
Porvoo Kiialan kartano,60.40695,25.61142
Porvoo Kodderviken,60.34326,25.60193
Porvoo Lakasalmi,60.35475,25.67063
Porvoo Ruskis,60.37125,25.68326
Porvoo Ruskis pohjoisniitty,60.37909,25.69112
Porvoo Sammalviken,60.36416,25.70169
Posio Posionjärvi Ahosenlahti,66.12926,28.15076
Pudasjärvi Aittojärvi Ihmelampi,65.26106,26.79277
Pudasjärvi Juutislampi,65.80998,27.35154
Pudasjärvi Kalettomansuo,65.34743,27.27901
Pudasjärvi Pudasjärvi,65.39078,26.94582
Pudasjärvi Sammakkosuo,65.24168,27.08305
Pudasjärvi Sotkajärvi,65.33453,27.29448
Pukkila Kanteleenjärvi,60.66033,25.67553
Puolanka Kempasvaara,65.01905,28.07510
Pyhtää Valkmusa,60.56895,26.71629
Pyhäjoki Eläväisluoto,64.40874,24.03044
Pyhäjoki Parhalahti,64.50721,24.28053
Pyhäjoki Rajaniemi,64.44158,24.12240
Pyhäjärvi Vuohtomäki,63.57310,26.06568
Pyhäntä Kivijärvi,64.13892,26.22272
Pyhäranta Nuuski,60.99961,21.65460
Pyhäranta Rihtniemi,61.08652,21.29927
Pälkäne Kukkola Vähäjärvi,61.34330,24.41435
Pälkäne Luopioinen Karvialahti,61.36785,24.65821
Pälkäne Syrjänharju,61.34645,24.25410
Pöytyä Haveri Kärilänmäki,60.82289,22.69028
Raahe Aittalahti,64.66649,24.44357
Raahe Mikonkari,64.71407,24.51523
Raahe Piehinki,64.57058,24.37791
Raahe Pitkäkari Ilolinna,64.69270,24.44196
Raasepori Grundsjö Lövdal,60.04909,23.81709
Raasepori Gullö Bötesberget,59.92285,23.42284
Raasepori Karjaa Läppträsket N,60.05017,23.65444
Raasepori Karjaa Läppträsket Pelikaanitorni,60.04699,23.64585
Raasepori Mustio Päsarträsket Ruffe,60.15311,23.75676
Raasepori Pohja Tukkisatama,60.09487,23.54971
Raasepori Tammisaari Harpar Storträsket,59.94500,23.32742
Raasepori Tammisaari Stadsfjärden,59.98015,23.40909
Raasepori Älgö Rodjan,59.86569,23.39654
Raisio Kattelus,60.46693,22.10457
Raisio Raisionlahti,60.46898,22.12429
Rantasalmi Hyppinginmäki,62.04880,28.28519
Rantasalmi Kosulanlampi,62.07307,28.29337
Rantasalmi Putkilahti,62.00931,28.40240
Rantasalmi Vaahersalonlampi,62.04486,28.46305
Ranua Kuhajärvi,65.90299,26.71989
Ranua Papinsalo Tervonsuo,65.81663,26.33128
Ranua Portimojärvi,66.10407,26.32149
Ranua Takajärvi Salmenniemi,65.91807,26.53397
Ranua Topin lintutorni Simojärvi,66.11860,26.97117
Rauma Kodisjoki Otajärvi,61.00367,21.66610
Rauma Lappi Kauklainen,61.08042,21.77704
Rauma Unajanlahti,61.07693,21.49227
Rautalampi Rastunsuo,62.73182,26.72978
Rautalampi Tyyrinvirta,62.66532,26.81924
Rautjärvi Lahnanen Simpele,61.41580,29.36010
Reisjärvi Saarinen Niittujärvi,63.66346,24.92709
Riihimäki Paalijärvi,60.68034,24.67253
Rovaniemi Harjulampi,66.48648,25.72227
Rovaniemi Lehtojärvi,66.63706,25.31201
Rovaniemi Niskanperä,66.45493,25.61237
Rovaniemi Ounasjokisuisto Koivusaari,66.51461,25.73427
Rovaniemi Paavalniemi,66.46545,25.58089
Rovaniemi Vaattunkivaara,66.60912,26.19028
Rovaniemi Vianaapa,66.57557,26.14200
Ruokolahti Kuokkalampi,61.25278,28.99824
Ruokolahti Pohja-Lankila Alanen,61.45714,29.01138
Ruokolahti Torsanpää,61.47058,29.03131
Rusko Kullaanvuori,60.52523,22.17106
Rusko Vahto Vajosuo E,60.68905,22.35665
Rääkkylä Jouhtenuslampi,62.30610,29.76532
Rääkkylä Kiesjärvi,62.28376,29.87066
Rääkkylä Ruokosalmi,62.30873,29.53049
Rääkkylä Vuoniemi,62.39541,29.76262
Saarijärvi Kuorejärvi,62.82596,25.03410
Saarijärvi Lautajärvi,62.62843,25.24768
